nombre,tipo,categoria,lat,lng
Banco de la Nación Argentina,bank,banca,-32.886973,-68.839986
CAJERO RED LINK,atm,banca,-32.8884787,-68.8401631
Banelco Macro,atm,banca,-32.88714599999999,-68.83985899999999
Cajero Banelco,atm,banca,-32.8833472,-68.8599504
Cajero Banelco Macro,atm,banca,-32.8950096,-68.845742
Banelco,atm,banca,-32.8960127,-68.8435854
ATM BANCO DE LA NACION ARGENTINA,atm,banca,-32.897099,-68.8535699
Cajero link,atm,banca,-32.8967657,-68.8436348
Supervielle Regatas,atm,banca,-32.8934461,-68.8672936
BANCO DE LA NACIÓN ARGENTINA,atm,banca,-32.894445,-68.829938
Banelco Itau Buen Ayre,atm,banca,-32.8984985,-68.83270259999999
Link Bco Nacion,atm,banca,-32.8812684,-68.8755986
Banelco Standard Bank,atm,banca,-32.88918689999999,-68.8457565
Cajero Automático Banelco Banco Macro,atm,banca,-32.892986,-68.850206
Banelco Macro,atm,banca,-32.8931885,-68.84996799999999
Cajero Automatico Banelco Banco Macro,atm,banca,-32.8468473,-68.840096
Cajero Automático Link,atm,banca,-32.8494203,-68.83974189999999
Cajero Banelco,atm,banca,-32.8509838,-68.8585184
Banelco ATM,atm,banca,-32.8502541,-68.839817
guia comercial mendoza,atm,banca,-32.852899,-68.8415349
SUPERVIELLE CENTRO BANEX,bank,banca,-32.9263059,-68.8438199
Banco Macro,bank,banca,-32.9260845,-68.8438591
Banco Credicoop Coop. Ltdo.,bank,banca,-32.9363,-68.8509
BANCO DE LA NACIÓN ARGENTINA,bank,banca,-32.9245839,-68.843977
Banco Supervielle,bank,banca,-32.9245606,-68.84461209999999
Santander Río,bank,banca,-32.92445099999999,-68.848524
Banco Credicoop Coop. Ltdo.,bank,banca,-32.8907,-68.7982
SUPERVIELLE,bank,banca,-32.889832,-68.81358
SUPERVIELLE,bank,banca,-32.922914,-68.864795
Supervielle,bank,banca,-32.8979083,-68.8431183
Santander Río,bank,banca,-32.8960019,-68.8436689
BBVA Francés,bank,banca,-32.89237240000001,-68.8400123
Instituto De Ayuda Financiera,bank,banca,-32.8956787,-68.84629160000001
Banco Macro,bank,banca,-32.8950223,-68.8456936
Santander Río,bank,banca,-32.9007168,-68.7882709
Banco Credicoop Coop Ltdo,bank,banca,-32.90003290000001,-68.8292381
Banco Industrial,bank,banca,-32.8903018,-68.8394016
Provencred,bank,banca,-32.9254666,-68.84661679999999
Banco Credicoop Coop. Ltdo.,bank,banca,-32.94982570000001,-68.7872477
Santander Río,bank,banca,-32.928227,-68.811144
Banco Galicia,bank,banca,-32.9283331,-68.81230359999999
Banco Macro,bank,banca,-32.92875069999999,-68.81365269999999
HSBC,bank,banca,-32.92651000000001,-68.830891
Banco Supervielle,bank,banca,-32.9389764,-68.84101799999999
Anses,bank,banca,-32.90283400000001,-68.788793
ICBC,bank,banca,-32.9143598,-68.8230801
Banco Hipotecario,bank,banca,-32.890301,-68.841877
Banco Macro,bank,banca,-32.8887719,-68.840462
Banco Macro,bank,banca,-32.8630929,-68.832436
Santander Río,bank,banca,-32.8928365,-68.8401071
Banco Galicia,bank,banca,-32.8870465,-68.8412276
Santander Río,bank,banca,-32.924454,-68.84826939999999
SUPERVIELLE CENTRO BANEX,bank,banca,-32.8853449,-68.84423570000001
BBVA Francés,bank,banca,-32.8874649,-68.8414334
Banco Patagonia,bank,banca,-32.8884479,-68.8392712
Banco Comafi,bank,banca,-32.88994039999999,-68.8417821
BANCO COLUMBIA,bank,banca,-32.888821,-68.8387939
Banco Patagonia (Suc. 291 G. Cruz),bank,banca,-32.9244354,-68.8443468
BBVA Francés,bank,banca,-32.902436,-68.789123
Credicoop,bank,banca,-32.88888319999999,-68.84043869999999
CAU I,bank,banca,-32.9256469,-68.8433562
Banco Galicia,bank,banca,-32.9246789,-68.843595
Banco Galicia,bank,banca,-32.9246479,-68.8435738
Banco Santander Rio Sa,bank,banca,-32.9396986,-68.8261852
Banco Nación,bank,banca,-32.92763180000001,-68.81979199999999
Banco Supervielle,bank,banca,-32.9214974,-68.7906036
BANCO DE LA NACION ARGENTINA,bank,banca,-32.90305,-68.788864
Banco Galicia,bank,banca,-32.902862,-68.78919549999999
Fiesta FISCALIA,bank,banca,-32.924042,-68.8080969
Bandera De Los Andes Y Libertad. Banco Nacion,bank,banca,-32.8968105,-68.7863054
BASA Banco De Archivos,bank,banca,-32.9321653,-68.8170662
Club Banco Nacion,bank,banca,-32.8922546,-68.75681879999999
Venta Lote Afip,bank,banca,-32.904933,-68.8119124
Banco Supervielle,bank,banca,-32.8939171,-68.8460846
ICBC Suc Colon,bank,banca,-32.893934,-68.845406
Supervielle,bank,banca,-32.8937519,-68.84618429999999
Mendoza Stock Exchange,bank,banca,-32.8935516,-68.8442414
Banco Galicia,bank,banca,-32.892612,-68.8524889
Citibank,bank,banca,-32.8906136,-68.84218109999999
Banco Industrial,bank,banca,-32.890254,-68.8395539
HSBC,bank,banca,-32.888421,-68.8403259
"Banco Nación, Sucursal Ejército De Los Andes",bank,banca,-32.888191,-68.8412616
BancoSanJuan,bank,banca,-32.887147,-68.83887
ICBC,bank,banca,-32.8868469,-68.840429
Citibank,bank,banca,-32.91406630000001,-68.8260269
Banco Macro,bank,banca,-32.9228096,-68.8478317
Rapipago,bank,banca,-32.9054034,-68.8288699
Banco Macro,bank,banca,-32.908535,-68.8608398
Banco Supervielle,bank,banca,-32.8500425,-68.83973859999999
SUPERVIELLE,bank,banca,-32.8500919,-68.83979200000002
NiponCar,bank,banca,-32.8850472,-68.8188569
"SUPERVIELLE, Sucursal Mendoza Centro",bank,banca,-32.888276,-68.8401228
Standard Bank Argentina,bank,banca,-32.8869438,-68.8406677
Banco Patagonia (Suc. 300 Mdz Civico),bank,banca,-32.8936308,-68.84713950000001
Banco Mendoza Sa,bank,banca,-32.887562,-68.8413836
Galicia Eminent,bank,banca,-32.88845869999999,-68.8497349
Rapipago,bank,banca,-32.8931831,-68.8505385
Banco de Inversión y Comercio Exterior (BICE),bank,banca,-32.88997599999999,-68.841776
Rapipago Güemes 297,bank,banca,-32.8957557,-68.8285799
Terminal Mdz,bank,banca,-32.8954147,-68.8314596
Banco Supervielle,bank,banca,-32.8946496,-68.8402405
Banco Itaú,bank,banca,-32.889752,-68.840694
EDIFICIO PROPUESTO P/ BANCO,bank,banca,-32.8892193,-68.8411589
Banco Hsbc - Bank Argentina Sa,bank,banca,-32.8893821,-68.83939459999999
Banco Ciudad,bank,banca,-32.8895775,-68.8383233
ICBC SUCURSAL MENDOZA BO CIVICO,bank,banca,-32.893934,-68.845406
SUPERVIELLE CENTRO BANEX,bank,banca,-32.89630990000001,-68.8410893
Caja de Previsión para Profesionales de Ciencias Económicas de Mendoza,bank,banca,-32.89343330000001,-68.8433148
Supervielle Centro Banex,bank,banca,-32.8946229,-68.840278
Banco Macro,bank,banca,-32.891917,-68.855846
SUPERVIELLE,bank,banca,-32.8936585,-68.84009780000001
BNA,bank,banca,-32.8870215,-68.8400283
ICBC MENDOZA BRANCH,bank,banca,-32.8869618,-68.8405157
Banco COMPAñIA FINANCIERA ARGENTINA,bank,banca,-32.886914,-68.8382989
Banco Nación,bank,banca,-32.88823299999999,-68.8390469
BANCO DE SERVICIOS Y TRANSACCIONES S.A.,bank,banca,-32.8860584,-68.8395093
Lugar Sucursal a Instalar,bank,banca,-32.87460100000001,-68.88284089999999
Archivo Catastro,bank,banca,-32.8608793,-68.82299909999999
Triunfo Seguros,bank,banca,-32.8688258,-68.8520647
Banco de la Nación,bank,banca,-32.84974,-68.83972
Citibank,bank,banca,-32.8508357,-68.858847
ANNEX NATIONAL BANK OF ARGENTINA,bank,banca,-32.8493064,-68.8372713
BANCO DE LA NACIÓN ARGENTINA,bank,banca,-32.8493086,-68.8371086
Herrera & Chaer,art_gallery,cultura,-32.9467794,-68.8459009
Salas de Arte Libertad,art_gallery,cultura,-32.9020269,-68.7888019
MARIAJOSE,art_gallery,cultura,-32.92188700000001,-68.87776099999999
Art Mall - Tienda de Arte,art_gallery,cultura,-32.8783634,-68.8295431
Espacio de Arte Gaudí,art_gallery,cultura,-32.8914133,-68.8535133
Proyecto Equinoxio,art_gallery,cultura,-32.8668911,-68.8494635
SALA DE ARTÉ Municipalidad de Guaymallén,art_gallery,cultura,-32.901162,-68.7959039
TALLER DE ARTE Gurru Mines,art_gallery,cultura,-32.901125,-68.795813
Mandrágora Galería,art_gallery,cultura,-32.892722,-68.84819379999999
"Casa Palmera Galeria, Supermercarte",art_gallery,cultura,-32.8918641,-68.8517469
La Sala de Maridajes,art_gallery,cultura,-32.88853,-68.848396
Marquet Cuadros,art_gallery,cultura,-32.87843780000001,-68.8363428
BAALBEK,art_gallery,cultura,-32.8916749,-68.8584798
Imagen Galería,art_gallery,cultura,-32.87826049999999,-68.8503814
Biblioteca Digital Argentina,library,cultura,-32.8851639,-68.842676
Biblioteca del Agua - Departamento General de Irrigación,library,cultura,-32.8820777,-68.8400108
Amanecer Luminoso,library,cultura,-32.854734,-68.8226519
Biblioteca Popular Pbro. Pedro Arce,library,cultura,-32.939755,-68.825789
LIBRARY + MEDIATECA Manuel Belgrano,library,cultura,-32.924095,-68.843471
Libreria Tecnica,library,cultura,-32.89176,-68.840053
Biblioteca Mauricio A López,library,cultura,-32.89313000000001,-68.846575
EDELIJ (Espacio de Literatura Infantil y Juvenil),library,cultura,-32.88014450000001,-68.8590396
EDELIJ,library,cultura,-32.8800809,-68.8596053
Biblioteca Central,library,cultura,-32.8816305,-68.8770545
Biblioteca Central,library,cultura,-32.8815802,-68.8770765
Biblioteca De Jesus Nazareno,library,cultura,-32.9238661,-68.7792467
BIBLIOTECA POPULAR MUNICIPAL ALMAFUERTE,library,cultura,-32.90051,-68.7877999
Biblioteca S.I.P.E.M.U.M.,library,cultura,-32.8942417,-68.8250735
Biblioteca San Martin,library,cultura,-32.8815619,-68.8363849
Asociación Ecuménica de Cuyo,library,cultura,-32.892935,-68.8465959
"BLIBLIOTECA POPULAR ""EL BERMEJO""",library,cultura,-32.868048,-68.778992
biblioteca popular valle de hualilan,library,cultura,-32.84189790000001,-68.87150720000001
Direccion De Patrimonio Cultural / Museo De La Educacion,museum,cultura,-32.9038594,-68.8429103
Museo de la Educación de Mendoza (Antigua Escuela Mitre),museum,cultura,-32.903571,-68.8428382
Encuentro RCA Mendoza,museum,cultura,-32.8952287,-68.83410359999999
Iglesia De Los Jesuitas,museum,cultura,-32.8949643,-68.8405463
Memorial Bandera Del Ejercito De Los Andes,museum,cultura,-32.89775330000001,-68.8459506
Monumento a la Bandera,museum,cultura,-32.8979264,-68.8463419
Espacio Para la Memoria y Derechos Humanos exD2 (EPMexD2),museum,cultura,-32.898244,-68.850657
MENDOCINO CRAFT MARKET,museum,cultura,-32.89010739999999,-68.8391022
MUSEO DEL VINO DE LA CIUDAD,museum,cultura,-32.8899877,-68.83910449999999
Espacio Contemporáneo de Arte ECA,museum,cultura,-32.8881575,-68.84005979999999
Museo Municipal CASA MOLINA PICO,museum,cultura,-32.8779476,-68.8187654
Museo del Pasado Cuyano,museum,cultura,-32.891773,-68.8471323
Archivo Histórico de Mendoza,museum,cultura,-32.8917006,-68.8473219
Inti huasi. la casa del sol.,museum,cultura,-32.8709389,-68.75217889999999
Sala Teatro Recreo Guaym.,museum,cultura,-32.8783289,-68.8260463
Obra de Arte,museum,cultura,-32.8792762,-68.82950749999999
Estudio Maty,museum,cultura,-32.8795503,-68.8377601
Gladys Gilabert,museum,cultura,-32.9370385,-68.80076100000001
Bodega Filipini,museum,cultura,-32.95134619999999,-68.8355641
Monumento Virgen Maria,museum,cultura,-32.9149317,-68.7949608
Monumento a Gandhy,museum,cultura,-32.9120651,-68.7661038
Cementerio Guaymallen,museum,cultura,-32.8989521,-68.7622914
COMISIÓN DE ESTUDIOS HISTÓRICOS MUSEO HISTÓRICO POLICIAL,museum,cultura,-32.9259589,-68.8450477
Museo Policial,museum,cultura,-32.9259096,-68.845094
Estacion Historica De Godoy Cruz,museum,cultura,-32.9208995,-68.8406901
Tortugas Rugby,museum,cultura,-32.9022641,-68.8207915
Taller Bianchi,museum,cultura,-32.9210524,-68.8473545
Taller Rincón del Arte,museum,cultura,-32.8867429,-68.7862739
Casa Serú,museum,cultura,-32.8957886,-68.8252384
La Enoteca,museum,cultura,-32.8992235,-68.8502946
MUSEUM OF AREA FOUNDATION,museum,cultura,-32.8797999,-68.827974
THE ART ROOM BARRACA,museum,cultura,-32.915107,-68.8219759
XD,museum,cultura,-32.8922697,-68.8143705
Pinacoteca Sanmartiniana Fidel Roig Matóns,museum,cultura,-32.8980652,-68.8429412
Flag's Memorial,museum,cultura,-32.8978681,-68.8464742
Casa Museo Molina Pico,museum,cultura,-32.8779093,-68.8187444
Museo Municipal Arte Moderno.,museum,cultura,-32.88999100000001,-68.844793
Casa de don José de San Martín,museum,cultura,-32.8825536,-68.8318886
Museo de Ciencias Naturales y Antropológicas Juan Cornelio Moyano,museum,cultura,-32.8984706,-68.86481719999999
Museo Histórico General San Martín,museum,cultura,-32.8816992,-68.8370571
Trg Republike Slovenije,museum,cultura,-32.8915885,-68.8586894
Estacion De Tren Mendoza,museum,cultura,-32.8844655,-68.8485798
Museo de Ciencias Naturales José Lorca,museum,cultura,-32.8939366,-68.8846897
Monumento cerro de la gloria,museum,cultura,-32.8886,-68.88580000000002
La Casita De Piedra,museum,cultura,-32.88475,-68.86350999999999
Capilla Patrimonial,museum,cultura,-32.8833497,-68.86654589999999
Nuestra Señora Rosario De Pompeya,museum,cultura,-32.883767,-68.8730449
Museo arqueol. uncuyo,museum,cultura,-32.8784898,-68.8796754
Acueducto Colonial Mendoza,museum,cultura,-32.854823,-68.890813
Carancho,museum,cultura,-32.8490339,-68.81567679999999
FLACO,museum,cultura,-32.8554424,-68.83773359999999
Capilla Histórica El Plumerillo,museum,cultura,-32.85434449999999,-68.7913744
Centro Cultural de Arte Roberto Rosas,museum,cultura,-32.86312720000001,-68.76600119999999
Atellier de Roberto Rosas,museum,cultura,-32.8631642,-68.7653864
Local PTS Frente De Izquierda Las Heras,museum,cultura,-32.8572199,-68.8327947
Iglesia Cristiana - El Redil,church,culto,-32.89241120000001,-68.8027087
AUDITORIO ZOE,place_of_worship,culto,-32.8994767,-68.8219763
Iglesia de Jesucristo de los Santos de los Ultimos Dias (Mormon),church,culto,-32.9193888,-68.84881419999999
Centro De Adoracion Familiar,church,culto,-32.89258470000001,-68.8062501
Iglesia Compasión Cristiana,church,culto,-32.931328,-68.858566
MINISTERIO PRESENCIA DE DIOS SEDE MENDOZA,place_of_worship,culto,-32.8906919,-68.8086934
Iglesia VISIÓN DE FUTURO,church,culto,-32.89451099999999,-68.821713
Jesu Kristi Kyrka av Sista Dagars Heliga,church,culto,-32.941131,-68.8707879
Parish Ntra. Sra. De Guadalupe and St. Juan Diego,church,culto,-32.935612,-68.873294
CASA DE ADORACIÓN,church,culto,-32.8908748,-68.83155529999999
Tabernáculo de la Fe,church,culto,-32.8907983,-68.8328684
Iglesia Jesús te Ama JTA,church,culto,-32.888819,-68.83380199999999
C3 Comunidad Cristiana de la Ciudad,church,culto,-32.89142549999999,-68.8384404
Immaculate Heart of Mary parish,church,culto,-32.89058990000001,-68.8524529
St. George Orthodox Church,church,culto,-32.8814653,-68.8421291
Parroquia Nuestra Señora de Lourdes,church,culto,-32.8710161,-68.8474918
Church of Our Lady of Carmen,church,culto,-32.9060689,-68.860658
AOXV,church,culto,-32.945035,-68.825711
IGLESIA CRUZ & GRACIA,church,culto,-32.94012,-68.831557
Jesu Kristi Kyrka av Sista Dagars Heliga,church,culto,-32.90689760000001,-68.76343630000001
SALON DEL REINO DE LOS TESTIGOS DE JEHOVA,church,culto,-32.9310233,-68.8317781
Chapel La Purisima,church,culto,-32.9047323,-68.7868877
Iglesia Cristiana Manantiales - Mendoza,church,culto,-32.8869772,-68.8289581
Salon Del Reino Testigos De Jehová,church,culto,-32.9048249,-68.805877
MINISTERIO CRISTIANO JESUS LA LUZ DEL MUNDO,church,culto,-32.9370727,-68.8472831
Iglesia Cruzada De Fe Del Nombre De Jesús,church,culto,-32.898398,-68.7914203
Parroquia San Vicente Ferrer,church,culto,-32.926001,-68.8447039
Parish Our Lady of Monserrat,church,culto,-32.945765,-68.8564789
Iglesia Cristiana La Gran Comisión,church,culto,-32.9051616,-68.8288496
La Iglesia de la Ciudad,church,culto,-32.920606,-68.8475129
Alianza Cristiana y Misionera,church,culto,-32.935755,-68.8586366
St. Augustine Parish,church,culto,-32.90376509999999,-68.8439952
Parroquia Maria Madre de la Iglesia,church,culto,-32.9408746,-68.80378929999999
Alameda church (First Baptist Church of Mendoza),church,culto,-32.879581,-68.83677899999999
St. Peter the Apostle Parish,church,culto,-32.939745,-68.82433499999999
Parroquia San Pablo,church,culto,-32.90335270000001,-68.8112874
Iglesia Evangelica Bautista,church,culto,-32.8964233,-68.7781906
"Iglesia Adventista del Séptimo Día, Movimiento de Reforma (SMI)",church,culto,-32.8984964,-68.8029188
San Cayetano Church,church,culto,-32.916829,-68.85226
Parroquia San Jose,church,culto,-32.894413,-68.824575
Arzobispado de Mendoza,place_of_worship,culto,-32.88952890000001,-68.837144
Fundación Cristiana Pueblo Nuevo,church,culto,-32.9107069,-68.87397500000002
Parroquia Nuestra Señora de Fátima,church,culto,-32.9260438,-68.8594591
Jesu Kristi Kyrka av Sista Dagars Heliga,church,culto,-32.9488951,-68.78671229999999
IMPA Luzuriaga,church,culto,-32.9454048,-68.79281739999999
Iglesia Comunidad,church,culto,-32.9485099,-68.7980044
capilla de Rosario,church,culto,-32.9278748,-68.7748112
Templo Rosacruz,church,culto,-32.9280953,-68.7545634
Capilla Virgen De Lourdes,church,culto,-32.94600670000001,-68.80127639999999
Salón Del Reino,church,culto,-32.9505629,-68.7858188
Estaca Maipu,church,culto,-32.9489047,-68.7866335
"Iglesia Cristiana""altar De Adoracion""",church,culto,-32.94737750000001,-68.7911199
IGLESIA JESUS NAZARENO,church,culto,-32.932601,-68.8404319
Hebrón. Tu ciudad de refugio.,church,culto,-32.9322965,-68.8643151
Asociación Escuela Científica Basilio - Escuela 70,church,culto,-32.929477,-68.846109
Iglesia El Profeta,church,culto,-32.9346296,-68.8725465
Iglesia Evangelica Pentecostal Argentina,church,culto,-32.9308549,-68.86672539999999
IMP Nazareo,church,culto,-32.9291284,-68.8606776
Hetednapi Adventista Imaház,church,culto,-32.925454,-68.8460159
Ministerio RENACER,church,culto,-32.9519381,-68.8419819
Church of St. Lucia,church,culto,-32.9479239,-68.8367566
Jesu Kristi Kyrka av Sista Dagars Heliga,church,culto,-32.9432519,-68.8363439
Parroquia Nstra. Sra. de Castelmonte,church,culto,-32.94050860000001,-68.8480095
Parroquia San Juan Diego,church,culto,-32.94690759999999,-68.87038079999999
Ministerio Vision Cristiana Godoy Cruz,church,culto,-32.9393197,-68.84055430000001
TEMPLO PENTECOSTAL DIVINA TRINIDAD,church,culto,-32.9392349,-68.838267
"""JESUS LA LUZ DEL MUNDO""",church,culto,-32.9370575,-68.8470113
Kingdom Hall,church,culto,-32.9194674,-68.7449651
Auditorio Familiar Cristiano,church,culto,-32.8975822,-68.8020908
Arzobispado de Mza Parroquia San Nicolas,church,culto,-32.89813139999999,-68.8031002
Capilla Santísima Trinidad,church,culto,-32.9109284,-68.8157117
Federación Asamblea Cristiana,church,culto,-32.8874609,-68.7875818
Capilla Barrio San Jose,church,culto,-32.88707100000001,-68.7899441
Ministerio Cristo La Esperanza-Villanueva,church,culto,-32.8868559,-68.7907374
IGLESIA EVANGELICA PENTECOSTAL ARGENTINA,church,culto,-32.8905406,-68.80030339999999
Santísima Trinidad,church,culto,-32.9110216,-68.8157753
Jesu Kristi Kyrka av Sista Dagars Heliga,church,culto,-32.910534,-68.798999
Iglesia El Señor Es Mi Ayudador,church,culto,-32.9068102,-68.7486052
PARROQUIA SANTA BERNARDITA,church,culto,-32.9083495,-68.8009343
Salon del Reino de los Testigos De Jehová,church,culto,-32.9004481,-68.7896009
Iglesia Bautista Buena Nueva,church,culto,-32.8973707,-68.7629215
Oratorio Virgen Del TINDARI,church,culto,-32.8960307,-68.778091
Iglesia Cristiana Restaurando Vidas,church,culto,-32.8961518,-68.7792898
Iglesia Catedral Mendoza,church,culto,-32.8979749,-68.78862
iglesia Asamblea De Dios,church,culto,-32.8951788,-68.7823557
Capilla Nuestra Señora de Fátima,church,culto,-32.8929762,-68.7727805
PARROQUIA SAGRADA FAMILIA,church,culto,-32.9001091,-68.7873639
Iglesia Bautista Jesús Nazareno,church,culto,-32.9229486,-68.7818813
Capilla Santa Teresita,church,culto,-32.9121278,-68.7841637
Capilla Del Rosario,church,culto,-32.9094667,-68.7612262
Iglesia Cristiana Evangelica,church,culto,-32.893,-68.854
"Iglesia Cristiana ""La Casa del Alfarero""",church,culto,-32.90989899999999,-68.844625
Jesucristo es el Señor UNIVERSAL Godoy Cruz,church,culto,-32.9231325,-68.84811549999999
Misión Argentina Mendoza - Oficína SUD (Mormon),church,culto,-32.9195287,-68.849008
Parroquia San Juan Maron,church,culto,-32.921276,-68.842462
Church of Our Lady of Solitude,church,culto,-32.92223519999999,-68.8415946
Parroquia Nuestra Sra. Del Rosario of Pompei,church,culto,-32.91661,-68.858865
Iglesia Metod Pentecostal Argentina,church,culto,-32.9221895,-68.8661256
SEVENTH-DAY ADVENTIST CHURCH,church,culto,-32.912127,-68.844717
Iglesia Angular,church,culto,-32.9111216,-68.84620439999999
ASAMBLEA DE DIOS,church,culto,-32.9020191,-68.8739907
Church Center,church,culto,-32.893641,-68.8539
Jesu Kristi Kyrka av Sista Dagars Heliga,church,culto,-32.8888493,-68.8537571
Servicio Sacerdotal Nocturno,church,culto,-32.8854081,-68.8498082
Centro San Jose Parroquia Espíritu Santo CÁRITAS,church,culto,-32.9108121,-68.8744348
ASAMBLEA CRISTIANA,church,culto,-32.9137335,-68.82624299999999
cobos y alvear,church,culto,-32.913557,-68.8256026
MISIONERAS SIERVAS DEL ESPÍRITU SANTO,church,culto,-32.9199164,-68.8725832
Parroquia Espíritu Santo Centro Misionero,church,culto,-32.9199193,-68.8725238
Salon del Reino de los Testigos de Jehová,church,culto,-32.9187934,-68.87164419999999
AUDITORIO LOS AMIGOS DE CRISTO,church,culto,-32.9187479,-68.870068
Parroquia Maria Madre de la Hostia Sangrante,church,culto,-32.9166379,-68.8711764
C.C.M - CENTRO CRISTIANO DE MENDOZA,church,culto,-32.9159405,-68.8699367
Parroquia Espíritu Santo,church,culto,-32.9135769,-68.8723909
"Centro San Arnoldo, Iglesia del Espíritu Santo",church,culto,-32.913714,-68.87832
Assumption Parish,church,culto,-32.911583,-68.8292309
Asociación Iglesia Evangélica,church,culto,-32.9064673,-68.83103419999999
Iglesia Cristiana Evangélica Vida Nueva,church,culto,-32.9067455,-68.8347067
Centro Cristiano de Cuyo,church,culto,-32.9004946,-68.8287026
