FDC_ID,Item,Category,Calorias_kcal,Proteinas_g,Carbohidratos_g,GrasaTotal_g,Colesterol_mg,Fibra_g,Agua_g,Alcohol_g,VitaminaC_mg
167935,"Bread, pan dulce, sweet yeast bread",Baked Products,367.0,9.42,56.38,11.58,30.0,2.3,21.54,0.0,1.2
167936,"Keikitos (muffins), Latino bakery item",Baked Products,467.0,6.81,53.16,25.24,,1.2,12.99,,
167937,"Cake, pound, Bimbo Bakeries USA, Panque Casero, home baked style",Baked Products,418.0,6.62,48.94,21.7,,1.0,21.29,,
167938,"Pan Dulce, La Ricura, Salpora de Arroz con Azucar, cookie-like, contains wheat flour and rice flour",Baked Products,445.0,8.81,66.28,16.11,,1.2,7.12,,
167939,"Garlic bread, frozen",Baked Products,350.0,8.36,41.72,16.61,0.0,2.5,31.78,0.0,0.2
167940,"Cinnamon buns, frosted (includes honey buns)",Baked Products,452.0,4.45,48.6,26.61,5.0,1.2,18.98,0.0,0.3
167941,"Crackers, cheese, reduced fat",Baked Products,418.0,10.0,68.19,11.67,0.0,3.3,7.3,0.0,0.0
167942,"Crackers, saltines, whole wheat (includes multi-grain)",Baked Products,398.0,7.14,68.25,10.71,0.0,6.7,9.85,0.0,0.0
167943,"Bread, potato",Baked Products,266.0,12.5,47.07,3.13,0.0,6.3,33.55,0.0,0.0
167944,"Bread, cheese",Baked Products,408.0,10.42,44.83,20.83,10.0,2.1,21.13,0.0,0.0
167945,"Focaccia, Italian flatbread, plain",Baked Products,249.0,8.77,35.82,7.89,0.0,1.8,45.91,0.0,0.0
168002,"Glutino, Gluten Free Wafers, Lemon Flavored",Baked Products,515.0,0.0,74.39,24.18,,0.0,1.12,,
168003,"Glutino, Gluten Free Wafers, Milk Chocolate",Baked Products,541.0,4.06,62.82,30.42,,1.6,1.37,,
168004,"Mary's Gone Crackers, Original Crackers, Organic Gluten Free",Baked Products,446.0,12.06,64.29,15.63,,16.2,4.29,,
168005,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Cheddar",Baked Products,457.0,11.71,66.2,16.11,,,3.17,,
168006,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Explosive Pizza",Baked Products,458.0,9.56,67.2,16.82,,,3.5,,
168007,"Sage Valley, Gluten Free Vanilla Sandwich Cookies",Baked Products,499.0,3.13,71.88,22.15,,1.0,2.06,,
168008,"Schar, Gluten-Free, Classic White Rolls",Baked Products,239.0,3.34,50.47,2.65,,5.1,42.0,,
168009,"Schar, Gluten-Free, Wheat-Free, Classic White Bread",Baked Products,240.0,3.81,46.13,4.47,,5.1,43.87,,
168010,"Udi's, Gluten Free, Classic French Dinner Rolls",Baked Products,310.0,7.99,55.1,6.4,,3.6,28.3,,
168011,"Van's, Gluten Free, Totally Original Waffles",Baked Products,248.0,2.99,40.54,8.22,,,46.22,,
168012,"Van's, The Perfect 10, Crispy Six Whole Grain + Four Seed Baked Crackers, Gluten Free",Baked Products,471.0,7.63,67.57,18.93,,,3.09,,
168013,"Bread, multi-grain (includes whole-grain)",Baked Products,265.0,13.36,43.34,4.23,0.0,7.4,36.94,0.0,0.1
168014,"Cookies, animal crackers (includes arrowroot, tea biscuits)",Baked Products,446.0,6.9,74.1,13.8,0.0,1.1,3.9,0.0,0.0
168126,"Rolls, pumpernickel",Baked Products,276.0,10.8,51.87,2.8,0.0,5.4,32.0,0.0,0.0
171835,"Cookie, vanilla with caramel, coconut, and chocolate coating",Baked Products,489.0,3.5,64.1,25.8,2.0,4.4,5.7,0.0,0.2
171836,"Cookie, with peanut butter filling, chocolate-coated",Baked Products,562.0,8.1,52.9,35.3,0.0,3.5,1.8,0.0,0.0
171837,"Cookies, animal, with frosting or icing",Baked Products,509.0,3.0,70.09,24.1,0.0,0.9,2.0,0.0,0.0
171838,"Crackers, multigrain",Baked Products,482.0,7.1,67.6,20.4,0.0,3.5,2.5,0.0,0.0
171839,"Cake, snack cakes, not chocolate, with icing or filling, low-fat, with added fiber",Baked Products,412.0,3.71,74.3,11.14,93.0,14.9,9.66,0.0,0.0
171840,"Cookies, brownies, commercially prepared, reduced fat, with added fiber",Baked Products,345.0,2.77,61.58,9.68,0.0,11.1,24.83,0.0,0.0
171841,"Cookies, chocolate sandwich, with creme filling, reduced fat",Baked Products,436.0,2.94,76.17,13.24,0.0,2.9,6.23,0.0,0.0
171842,"Cookies, oatmeal sandwich, with creme filling",Baked Products,398.0,2.61,55.62,18.29,0.0,2.6,22.1,0.0,0.0
171843,"Cookies, peanut butter, commercially prepared, sugar free",Baked Products,523.0,10.34,50.52,31.03,17.0,3.4,6.17,0.0,0.0
171844,"Bread, chapati or roti, plain, commercially prepared",Baked Products,297.0,11.25,46.36,7.45,,4.9,33.0,,
171845,"Bread, naan, plain, commercially prepared, refrigerated",Baked Products,291.0,9.62,50.43,5.65,,2.2,32.6,,
171846,"Crackers, standard snack-type, with whole wheat",Baked Products,463.0,7.29,68.37,17.84,0.0,4.9,2.73,0.0,0.0
171847,"Cookies, coconut macaroon",Baked Products,460.0,3.02,61.22,22.55,0.0,5.1,11.5,0.0,0.0
171848,"Crackers, sandwich-type, peanut butter filled, reduced fat",Baked Products,437.0,8.33,63.49,16.67,0.0,2.8,9.33,0.0,0.0
171849,"Bread, cinnamon",Baked Products,253.0,7.05,44.38,5.29,0.0,3.5,41.93,0.0,0.0
171850,"Bread, wheat, sprouted",Baked Products,188.0,13.16,33.88,0.0,0.0,5.3,50.88,0.0,0.0
171851,"Bread, wheat, sprouted, toasted",Baked Products,205.0,14.3,36.82,0.0,0.0,5.7,46.61,0.0,0.0
171852,"Bagels, multigrain",Baked Products,241.0,9.9,47.47,1.24,6.0,6.2,39.4,0.0,0.0
171853,"Pancakes, whole wheat, dry mix, incomplete",Baked Products,350.0,10.53,74.11,1.32,0.0,7.9,10.5,0.0,0.0
171854,"Crackers, toast thins, low sodium",Baked Products,442.0,6.45,67.66,16.13,0.0,9.7,8.12,0.0,0.0
171855,"Crackers, whole grain, sandwich-type, with peanut butter filling",Baked Products,465.0,14.12,54.59,21.18,0.0,9.4,7.32,0.0,0.0
171856,"Crackers, water biscuits",Baked Products,384.0,7.14,72.81,7.14,0.0,7.1,11.0,0.0,0.0
171857,"Cookies, gluten-free, chocolate sandwich, with creme filling",Baked Products,474.0,2.19,76.03,17.89,0.0,2.5,2.84,0.0,0.0
171858,"Cookies, gluten-free, chocolate wafer",Baked Products,541.0,4.06,62.82,30.42,,1.6,1.37,,
171859,"Cookies, gluten-free, lemon wafer",Baked Products,515.0,0.0,74.39,24.18,,0.0,1.12,,
171860,"Cookies, gluten-free, vanilla sandwich, with creme filling",Baked Products,493.0,2.66,74.61,20.47,,0.5,1.67,,
171861,"Rolls, gluten-free, white, made with brown rice flour, tapioca starch, and potato starch",Baked Products,310.0,7.99,55.1,6.4,,3.6,28.3,,
171862,"Rolls, gluten-free, white, made with rice flour, rice starch, and corn starch",Baked Products,239.0,3.34,50.47,2.65,0.0,5.1,42.0,0.0,0.0
171863,"Rolls, gluten-free, white, made with brown rice flour, tapioca starch, and sorghum flour",Baked Products,257.0,5.65,40.24,8.2,,2.9,44.6,,
171864,"Rolls, gluten-free, whole grain, made with tapioca starch and brown rice flour",Baked Products,329.0,11.8,44.29,11.6,,11.2,29.9,,
171865,"Cookies, oatmeal, reduced fat",Baked Products,365.0,4.02,64.62,10.04,20.0,16.1,19.46,0.0,0.0
171866,"Cookies, chocolate cream covered biscuit sticks",Baked Products,447.0,10.0,51.08,22.5,0.0,5.0,15.09,0.0,0.0
171867,"Cookies, Marie biscuit",Baked Products,406.0,7.05,70.54,10.58,0.0,3.5,9.79,0.0,0.0
171868,"Cookies, vanilla sandwich with creme filling, reduced fat",Baked Products,423.0,4.17,78.16,10.42,0.0,2.1,6.25,0.0,0.0
172664,"Bagels, cinnamon-raisin",Baked Products,274.0,9.8,55.2,1.7,0.0,2.3,32.0,0.0,0.7
172665,"Bagels, cinnamon-raisin, toasted",Baked Products,294.0,10.6,59.3,1.8,0.0,2.5,26.9,0.0,0.6
172666,"Bagels, oat bran",Baked Products,255.0,10.7,53.3,1.2,0.0,3.6,32.9,0.0,0.2
172667,"Biscuits, plain or buttermilk, frozen, baked",Baked Products,338.0,6.2,53.87,11.03,1.0,1.3,26.7,0.0,0.0
172668,"Biscuits, plain or buttermilk, refrigerated dough, higher fat",Baked Products,307.0,6.66,46.32,10.58,1.0,0.7,33.15,0.0,0.1
172669,"Biscuits, plain or buttermilk, refrigerated dough, higher fat, baked",Baked Products,324.0,6.79,49.05,11.22,0.0,2.8,29.69,0.0,0.0
172670,"Biscuits, plain or buttermilk, prepared from recipe",Baked Products,353.0,7.0,44.6,16.3,3.0,1.5,28.9,0.0,0.2
172671,"Biscuits, mixed grain, refrigerated dough",Baked Products,263.0,6.1,47.4,5.6,0.0,,37.8,,0.0
172672,"Bread, cracked-wheat",Baked Products,260.0,8.7,49.5,3.9,0.0,5.5,35.8,0.0,0.0
172673,"Bread, egg",Baked Products,287.0,9.5,47.8,6.0,51.0,2.3,34.7,0.0,0.0
172674,"Bread, egg, toasted",Baked Products,315.0,10.5,52.6,6.6,56.0,2.5,28.3,0.0,0.0
172675,"Bread, french or vienna (includes sourdough)",Baked Products,272.0,10.75,51.88,2.42,0.0,2.2,33.0,0.0,0.0
172676,"Bread, oat bran",Baked Products,236.0,10.4,39.8,4.4,0.0,4.5,44.0,0.0,0.0
172677,"Bread, oat bran, toasted",Baked Products,259.0,11.4,43.7,4.8,0.0,4.9,38.5,0.0,0.0
172678,"Bread, oatmeal",Baked Products,269.0,8.4,48.5,4.4,0.0,4.0,36.7,0.0,0.0
172679,"Bread, oatmeal, toasted",Baked Products,292.0,9.2,52.7,4.8,0.0,4.3,31.2,0.0,0.3
172680,"Bread, raisin, enriched",Baked Products,274.0,7.9,52.3,4.4,0.0,4.3,33.6,0.0,0.1
172681,"Bread, raisin, enriched, toasted",Baked Products,297.0,8.6,56.9,4.8,0.0,4.7,27.8,0.0,0.4
172682,"Bread, reduced-calorie, oat bran",Baked Products,201.0,8.0,41.3,3.2,0.0,12.0,46.0,0.0,0.0
172683,"Bread, reduced-calorie, oat bran, toasted",Baked Products,239.0,9.5,49.2,3.8,0.0,14.3,35.7,0.0,0.0
172684,"Bread, rye",Baked Products,259.0,8.5,48.3,3.3,0.0,5.8,37.3,0.0,0.4
172685,"Bread, rye, toasted",Baked Products,284.0,9.4,53.1,3.6,0.0,6.4,31.0,0.0,0.2
172686,"Bread, wheat",Baked Products,274.0,10.67,47.54,4.53,0.0,4.0,35.25,0.0,0.2
172687,"Bread, wheat, toasted",Baked Products,313.0,12.96,55.77,4.27,0.0,4.7,24.23,0.0,0.2
172688,"Bread, whole-wheat, commercially prepared",Baked Products,252.0,12.45,42.71,3.5,0.0,6.0,39.01,0.0,0.0
172689,"Bread, whole-wheat, commercially prepared, toasted",Baked Products,306.0,16.27,51.16,4.07,0.0,7.5,24.25,0.0,0.0
172690,"Bread, whole-wheat, prepared from recipe",Baked Products,278.0,8.4,51.4,5.4,0.0,6.0,32.7,0.0,0.0
172691,"Bread, whole-wheat, prepared from recipe, toasted",Baked Products,305.0,9.2,56.4,5.9,0.0,6.7,26.0,0.0,0.0
172692,"Bread, stuffing, cornbread, dry mix",Baked Products,389.0,10.0,76.7,4.2,0.0,14.3,4.6,0.0,3.5
172693,"Bread, stuffing, cornbread, dry mix, prepared",Baked Products,179.0,2.9,21.9,8.8,0.0,2.9,64.9,0.0,0.8
172694,"Cake, angelfood, commercially prepared",Baked Products,258.0,5.9,57.8,0.8,0.0,1.5,33.2,,0.0
172695,"Cake, angelfood, dry mix, prepared",Baked Products,257.0,6.1,58.7,0.3,0.0,0.2,32.9,0.0,0.0
172696,"Cake, boston cream pie, commercially prepared",Baked Products,252.0,2.4,42.9,8.5,37.0,1.4,45.4,0.0,0.2
172697,"Cake, chocolate, prepared from recipe without frosting",Baked Products,371.0,5.3,53.4,15.1,58.0,1.6,24.4,0.0,0.2
172698,"Cake, white, prepared from recipe with coconut frosting",Baked Products,356.0,4.4,63.2,10.3,1.0,1.0,20.7,0.0,0.1
172699,"Cake, coffeecake, cheese",Baked Products,339.0,7.0,44.3,15.2,85.0,1.0,32.2,0.0,0.1
172700,"Cake, coffeecake, cinnamon with crumb topping, commercially prepared, enriched",Baked Products,418.0,6.8,46.7,23.3,32.0,2.0,21.9,0.0,0.3
172701,"Cake, gingerbread, dry mix",Baked Products,437.0,4.4,74.6,13.8,0.0,1.7,4.4,0.0,0.2
172702,"Cake, gingerbread, prepared from recipe",Baked Products,356.0,3.9,49.2,16.4,32.0,,28.0,,0.1
172703,"Cake, pineapple upside-down, prepared from recipe",Baked Products,319.0,3.5,50.5,12.1,22.0,0.8,32.3,0.0,1.2
172704,"Cake, pound, commercially prepared, butter (includes fresh and frozen)",Baked Products,353.0,5.0,53.64,13.96,66.0,0.6,25.87,0.0,0.0
172705,"Cake, white, dry mix, special dietary (includes lemon-flavored)",Baked Products,397.0,3.0,79.6,8.4,0.0,,6.0,,0.0
172706,"Cake, sponge, commercially prepared",Baked Products,290.0,5.4,61.0,2.7,102.0,0.5,29.7,0.0,0.0
172707,"Cake, sponge, prepared from recipe",Baked Products,297.0,7.3,57.7,4.3,170.0,,29.4,,0.0
172708,"Cake, pudding-type, white, enriched, dry mix",Baked Products,423.0,3.9,80.9,9.5,0.0,0.7,3.5,0.0,0.0
172709,"Cake, white, prepared from recipe without frosting",Baked Products,357.0,5.4,57.2,12.4,2.0,0.8,23.3,0.0,0.2
172710,"Cake, yellow, prepared from recipe without frosting",Baked Products,361.0,5.3,53.0,14.6,54.0,0.7,25.1,0.0,0.2
172711,"Cake, cheesecake, commercially prepared",Baked Products,321.0,5.5,25.5,22.5,55.0,0.4,45.6,0.0,0.4
172712,"Cake, cheesecake, prepared from mix, no-bake type",Baked Products,274.0,5.5,35.5,12.7,29.0,1.9,44.2,,0.5
172713,"Cookies, brownies, commercially prepared",Baked Products,405.0,4.8,63.9,16.3,17.0,2.1,13.6,0.0,0.0
172714,"Cookies, chocolate wafers",Baked Products,433.0,6.6,72.7,14.2,2.0,3.4,4.5,0.0,0.0
172715,"Cookies, chocolate chip, commercially prepared, regular, lower fat",Baked Products,451.0,5.97,67.49,17.91,0.0,3.0,7.36,0.0,0.0
172716,"Cookies, chocolate chip, commercially prepared, regular, higher fat, enriched",Baked Products,492.0,5.1,65.36,24.72,0.0,2.0,3.57,0.0,0.0
172717,"Cookies, chocolate chip, commercially prepared, soft-type",Baked Products,444.0,3.63,65.75,19.77,,1.8,9.88,,
172718,"Cookies, chocolate sandwich, with creme filling, regular",Baked Products,464.0,5.21,71.0,19.14,0.0,2.9,3.11,0.0,0.0
172719,"Cookies, chocolate sandwich, with creme filling, regular, chocolate-coated",Baked Products,481.0,3.6,66.4,26.4,0.0,5.2,2.0,0.0,0.0
172720,"Cookies, chocolate sandwich, with extra creme filling",Baked Products,497.0,4.33,68.2,24.52,0.0,2.7,1.65,0.0,0.0
172721,"Cookies, fig bars",Baked Products,348.0,3.7,70.9,7.3,0.0,4.6,16.5,0.0,0.3
172722,"Cookies, fortune",Baked Products,378.0,4.2,84.0,2.7,2.0,1.6,8.0,0.0,0.0
172723,"Cookies, marshmallow, chocolate-coated (includes marshmallow pies)",Baked Products,421.0,4.0,67.7,16.9,0.0,2.0,10.1,0.0,0.1
172724,"Cookies, molasses",Baked Products,430.0,5.6,73.8,12.8,0.0,1.0,5.8,0.0,0.0
172725,"Cookies, oatmeal, commercially prepared, regular",Baked Products,450.0,6.2,68.7,18.1,0.0,2.8,5.7,0.0,0.5
172726,"Cookies, oatmeal, commercially prepared, soft-type",Baked Products,409.0,6.1,65.7,14.7,5.0,2.7,11.0,,0.2
172727,"Cookies, peanut butter, commercially prepared, regular",Baked Products,473.0,8.92,58.15,23.82,27.0,2.1,7.28,0.0,0.0
172728,"Cookies, peanut butter, commercially prepared, soft-type",Baked Products,457.0,5.3,57.7,24.4,0.0,1.7,11.5,,0.0
172729,"Cookies, peanut butter, refrigerated dough",Baked Products,458.0,8.2,52.1,25.0,27.0,1.1,12.6,0.0,0.0
172730,"Cookies, peanut butter, refrigerated dough, baked",Baked Products,503.0,9.1,57.3,27.5,30.0,1.2,4.0,,0.0
172731,"Cookies, brownies, dry mix, sugar free",Baked Products,426.0,2.9,80.4,12.5,0.0,4.2,3.5,0.0,0.0
172732,"Cookies, chocolate chip, commercially prepared, special dietary",Baked Products,450.0,3.9,73.4,16.8,0.0,1.6,5.1,0.0,0.0
172733,"Cookies, chocolate sandwich, with creme filling, special dietary",Baked Products,461.0,4.5,68.0,22.1,0.0,4.1,4.2,0.0,0.0
172734,"Cookies, oatmeal, commercially prepared, special dietary",Baked Products,449.0,4.8,69.9,18.0,0.0,2.9,6.5,0.0,0.3
172735,"Cookies, sugar, refrigerated dough, baked",Baked Products,489.0,4.7,65.6,23.1,32.0,0.9,5.0,0.0,0.0
172736,"Cookies, sugar wafers with creme filling, regular",Baked Products,502.0,3.84,70.64,23.24,0.0,1.6,1.66,0.0,0.0
172737,"Cookies, vanilla sandwich with creme filling",Baked Products,483.0,4.5,72.1,20.0,0.0,1.5,2.2,0.0,0.0
172738,"Puff pastry, frozen, ready-to-bake, baked",Baked Products,558.0,7.4,45.7,38.5,0.0,1.5,7.4,0.0,0.0
172739,"Crackers, crispbread, rye",Baked Products,366.0,7.9,82.2,1.3,0.0,16.5,6.1,0.0,0.0
172740,"Crackers, matzo, plain",Baked Products,395.0,10.0,83.7,1.4,0.0,3.0,4.3,0.0,0.0
172741,"Crackers, matzo, egg",Baked Products,391.0,12.3,78.6,2.1,83.0,2.8,6.4,,0.1
172742,"Crackers, matzo, whole-wheat",Baked Products,351.0,13.1,78.9,1.5,0.0,11.8,4.8,0.0,0.0
172743,"Crackers, rye, sandwich-type with cheese filling",Baked Products,481.0,9.2,60.8,22.3,9.0,3.6,3.8,,0.4
172744,"Crackers, rye, wafers, plain",Baked Products,334.0,9.6,80.4,0.9,0.0,22.9,5.0,0.0,0.1
172745,"Crackers, rye, wafers, seasoned",Baked Products,381.0,9.0,73.8,9.2,0.0,20.9,4.0,,0.1
172746,"Crackers, saltines (includes oyster, soda, soup)",Baked Products,418.0,9.46,74.05,8.64,0.0,2.8,5.05,0.0,0.0
172747,"Crackers, wheat, sandwich, with cheese filling",Baked Products,497.0,9.8,58.2,25.0,7.0,3.1,3.2,,1.5
172748,"Crackers, wheat, sandwich, with peanut butter filling",Baked Products,495.0,13.5,53.8,26.7,0.0,4.4,3.4,,0.0
172749,"Crackers, whole-wheat",Baked Products,427.0,10.58,69.55,14.13,0.0,10.3,2.94,0.0,0.0
172750,"Cracker, meal",Baked Products,383.0,9.3,80.9,1.7,0.0,2.6,7.6,0.0,0.0
172751,"Croutons, plain",Baked Products,407.0,11.9,73.5,6.6,0.0,5.1,5.5,,0.0
172752,"Croutons, seasoned",Baked Products,465.0,10.8,63.5,18.3,7.0,5.0,3.6,0.0,0.0
172753,"Danish pastry, cinnamon, enriched",Baked Products,403.0,7.0,44.6,22.4,21.0,1.3,24.3,0.0,0.1
172754,"Danish pastry, cheese",Baked Products,374.0,8.0,37.2,21.9,23.0,1.0,31.4,0.0,0.1
172755,"Danish pastry, fruit, enriched (includes apple, cinnamon, raisin, lemon, raspberry, strawberry)",Baked Products,371.0,5.4,47.8,18.5,114.0,1.9,27.1,0.0,3.9
172756,"Doughnuts, french crullers, glazed",Baked Products,412.0,3.1,59.5,18.3,11.0,1.2,17.9,0.0,0.0
172757,"Doughnuts, yeast-leavened, with creme filling",Baked Products,361.0,6.4,30.0,24.5,24.0,0.8,38.2,0.0,0.0
172758,"Doughnuts, yeast-leavened, glazed, enriched (includes honey buns)",Baked Products,421.0,6.14,47.93,22.7,30.0,2.1,22.0,0.0,1.2
172759,"Doughnuts, yeast-leavened, with jelly filling",Baked Products,340.0,5.9,39.0,18.7,26.0,0.9,35.6,0.0,0.0
172760,"Muffins, English, raisin-cinnamon, toasted (includes apple-cinnamon)",Baked Products,276.0,8.87,55.04,2.21,0.0,3.0,32.07,0.0,1.4
172761,"Muffins, English, wheat",Baked Products,223.0,8.7,44.8,2.0,0.0,4.6,42.3,0.0,0.0
172762,"Muffins, English, whole-wheat",Baked Products,203.0,8.8,40.4,2.1,0.0,6.7,45.7,0.0,0.0
172763,"French toast, frozen, ready-to-heat",Baked Products,213.0,7.4,32.1,6.1,82.0,1.1,52.6,0.0,0.3
172764,"Muffins, plain, prepared from recipe, made with low fat (2%) milk",Baked Products,296.0,6.9,41.4,11.4,39.0,2.7,37.7,,0.3
172765,"Muffins, blueberry, commercially prepared (Includes mini-muffins)",Baked Products,375.0,4.49,53.0,16.07,30.0,1.1,24.96,0.0,0.9
172766,"Muffins, blueberry, dry mix",Baked Products,293.0,3.48,61.0,3.25,0.0,1.4,30.18,,2.3
172767,"Muffins, blueberry, toaster-type",Baked Products,313.0,4.6,53.3,9.5,6.0,1.8,30.8,0.0,0.0
