ano,pbi,OfertaAgricultura,OfertaMinas,OfertaManufacturera,OfertaElectricidad,OfertaConstruccion,OfertaComercio,OfertaTransporte,OfertaFinaciera,OfertaSociales,OfertaImpuestos,DemandaConsumoHogares,DemandaConsumoGobiertano,DemandaConstrucciones,DemandaMaterialNacional,DemandaMaterialImportada,DemandaMaquinariaNacional,DemandaMaquinariaImportaciones,DemandaExportaciones,DemandaImportaciones,DemandaGib
1989,336688031261,27001975241,13893793369,82216499765,3361266396,10873272642,50628882106,18243748579,50032988983,53238022143,26122249566,215312320435,47851155787,32878020288,5504369659,249464141,9015960036,2017204581,44339850439,19679647405,336688031261
1990,328399222044,29904000025,13866605600,77193508884,3819806357,8596686414,48785005783,16402884933,47883623209,52747880558,30013661447,211876158855,45060493690,26715975891,4801693770,196807242,7865002138,1591412970,52005284628,19187412726,328399222044
1991,361069549031,31685663050,14218180979,84219777703,3973339155,11052671158,56082232171,17871046781,48725978010,53720006233,40596321467,244011009979,46174155362,33643092678,5230998450,429736091,8568187802,3474910690,49534541346,34144184810,361069549031
1992,388669673276,31033803587,15376273290,83988901651,4383107100,12467390535,59712781053,18129198558,51856541421,54859471126,61333246220,271515741499,46898230225,38096552386,6697263403,882829312,10969877194,7138690639,47670938425,55009517490,388669673276
1993,410063566307,31357716502,16748724678,83619858140,4849887789,13533862383,61345040369,18778323915,58241569445,56498804733,69548716460,285612325002,48901779347,41873140481,7295780783,1194402636,11950227190,9658119420,49827264164,63073791648,410063566307
1994,433947829929,33544136373,18963030638,86972750370,5350582322,14246400165,65176124600,20612574500,63407665695,57276868161,74041415325,302393110233,49133367230,46020152600,8518951922,1919411837,12081682498,13335489433,57465156034,76423916677,433947829929
1995,421451288472,35412367068,22059841118,80692516035,5743294470,12509197093,60292676935,20955444839,62798339468,57616025325,70241632393,288939010607,49431734755,41406781510,5910970219,1448232087,11346509489,10685752943,70303876313,68824446956,421451288472
1996,444725752123,34926262623,23006637223,85721379673,5962621400,13531413698,64914279118,22354815653,66433128696,58866557569,76476992676,308497862188,50529347215,44004695260,5803977294,2010589796,12246078124,12863583748,75717472715,80928936996,444725752123
1997,480360959944,34989931863,23100605968,93305931807,6432858166,15732338468,71788118799,24792668625,71036204926,61056112596,85716846196,335984635841,52195205792,50240089737,7139401572,2979699843,12516843488,17751638538,85001473813,102752622848,480360959944
1998,498489199070,37758581156,22047182753,94289349242,6871004067,16970913385,73688246641,26784048466,75356857976,61732631345,89310933870,346304605626,53975931210,53179868289,7442381595,3583468603,12681729824,19379871114,94081356390,111457202286,498489199070
1999,481566602976,38642978973,21300701814,86728417892,7108583949,15619664207,68548530037,26404118678,74887898035,62892410185,82681198141,333316749147,55248237310,47288594476,7360084148,2743030979,10530679471,16301104000,92656088251,98644510803,481566602976
2000,478236166485,37940475021,22717956741,83349422925,7574143471,14154797764,66864732257,26843902514,75791746196,63939749432,81331274118,333215267963,55454853357,44684342972,6019095236,2000712123,9888073123,16455559987,94967877609,98290215417,478236166485
2001,457518182544,38534394973,23898438504,77577405850,7694793951,12578787232,61971097346,25746057242,72859108451,64004636626,74412432720,316504185104,54198509628,40384460553,3476620969,1451341081,8744185987,11874381272,97375536055,84412699928,457518182544
2002,408094344456,37961280554,23191173650,69679463280,7523506763,8442546241,52040481548,23895764491,66475467360,62143243147,56401213904,260979024687,49892223942,26557855882,2122621605,615025407,7570474064,3034983436,97354969759,40882691861,408094344456
2003,446068092439,40975185367,24294690036,81611999465,8127503219,11455155220,59096439363,26118281057,66533483588,64179911420,63752757948,289758122973,51667314478,36583220002,3001198778,1067811155,9183695017,6816902240,105324562175,57402823948,446068092439
2004,485115194725,40538965484,24306194564,91808108058,8696709467,14895248375,66927387752,29770871767,68341002528,67142971388,72687735341,320122587830,53918788365,46751093616,4184430006,2583364908,11060860373,12523428210,115688425447,81717784031,485115194725
2005,527843376542,48161803018,24231788555,98625113402,9229168251,16753202405,74012338092,33993403813,73178283459,72215501459,77838000695,343297409800,59182713160,50807402187,5889133905,4022971290,12327511740,15530146328,130486741976,94588685309,526839046852
2006,571089160364,47909486517,25541129453,107601897915,9769202045,18826781769,81884768610,38365901831,79157148934,75701918408,86492368638,374207210217,61456300050,56844037265,7286522045,3894428848,14852830234,18495162598,137901562350,105106311854,569835464017
2007,621693371643,52000383182,24917156422,115715783013,10019452967,20853326658,91386455834,43256578461,85135386354,80354836331,99113745006,409609625836,66322845915,62835192151,8326335706,4348819426,16391695823,29914917632,149283486836,125853200132,620289678991
2008,647444123072,50867392997,24634995825,119917487046,10505213544,21729365681,95773914864,45633385916,89907042713,84189489418,105089450053,437163669898,69708622333,65862778228,8737279791,5270172556,16863232561,35951572176,150516759919,143044016391,646034567254
2009,611268559847,37583601347,24694110213,111190674710,10449082894,19053700816,88413279347,45359823929,87516813608,87110204582,97894958169,412566190924,73584505083,53738991534,6911020161,2416240131,13884033144,25706844209,136352038417,116618500956,609883720050
2010,671447689589,52448296158,25086491664,123383122742,10632635152,20919761002,99423009408,49334511561,92259486264,90527601638,108332170332,462082598539,77085416338,61541718741,9515752465,5561405358,18927869270,33895064378,154277962800,156634938280,669641250215
2011,711876372894,51232247600,23624757639,132833552973,11137192032,22917469985,109669382185,52052730045,98166614131,93837237783,118208323319,501468174468,80184420870,66813943052,11899022232,7661349361,23759578339,41326728494,159841680179,190143785790,709846118754
2012,706420870168,44579958519,23338178766,128887568646,11655890977,22357980999,107013302114,52391956399,99767726112,97055804064,119116971045,499877233083,82549920556,64700327691,11937482081,5518154212,21650676546,35683290813,153186765485,181049138448,704517238544
2013,722040183987,49721752068,22404030031,130944551380,11717769879,22344881459,109388604371,53702369755,100256426891,98923181463,123021130374,516595596894,86152836238,64634666531,13783168151,7239125008,24156151830,33736431348,146449825751,186368215953,720649972746
2014,705611747648,51321551605,22736711813,124263314517,11939156363,21877578423,102335931469,54087653912,98874388852,100532401097,115972956704,496730426540,89033326375,63301703123,10305735713,5950583136,21378949359,32538397909,136756102482,165611660510,703337679146
2015,722561538316,54675970819,23375961951,124566831310,12346924852,22521998699,104976597217,55417987930,100687552693,103292786749,118778641731,509870708731,94456349868,64462175043,11439762277,5599292920,24228907045,34412887620,135515134091,173984203797,722845994518
