superficie,precio,zona
98.0,353.49717260727687,Zona 2
106.0,425.0971995857975,Zona 2
101.0,533.5958968889199,Zona 3
77.0,396.5171444340836,Zona 3
94.0,303.8869586349492,Zona 1
99.0,434.568333281315,Zona 2
94.0,363.1083546143429,Zona 2
34.0,161.66766512921396,Zona 1
60.0,274.52117529452096,Zona 2
84.0,1403.3608094611025,Zona 2
115.0,395.43966017130265,Zona 2
68.0,200.4466737772171,Zona 1
77.0,257.0783347885842,Zona 1
85.0,303.63341364847423,Zona 1
116.0,425.3621652530621,Zona 2
111.0,507.46855899944535,Zona 3
101.0,484.9597765860875,Zona 3
89.0,258.05965470778966,Zona 1
102.0,362.3357028338519,Zona 2
65.0,225.29794293984577,Zona 1
91.0,467.909340766086,Zona 3
36.0,162.1369097852259,Zona 1
140.0,672.5274950890682,Zona 3
106.0,1996.5348562119923,Zona 2
94.0,1669.0458052277943,Zona 2
61.0,314.65555874794484,Zona 2
76.0,330.22106879616217,Zona 2
79.0,295.96200264688684,Zona 2
77.0,260.40699374975134,Zona 1
80.0,349.3320861501942,Zona 2
114.0,534.7659620795719,Zona 3
96.0,457.8666237518968,Zona 3
46.0,150.07990077636356,Zona 1
104.0,316.4155323161214,Zona 1
61.0,222.22404839490437,Zona 1
89.0,287.3908911672692,Zona 1
58.0,268.3664570436219,Zona 2
97.0,434.383700148992,Zona 2
34.0,230.84102010546644,Zona 3
106.0,401.7001080045979,Zona 2
103.0,493.4799473373155,Zona 3
104.0,467.0909667001661,Zona 3
39.0,135.70750152189711,Zona 1
83.0,320.5453657482927,Zona 2
65.0,284.67238552376074,Zona 2
67.0,208.47927596874203,Zona 1
101.0,421.7553811711495,Zona 2
93.0,385.7814814967068,Zona 3
77.0,240.27701536161567,Zona 1
44.0,200.3922977125408,Zona 1
68.0,238.1455877320849,Zona 1
77.0,349.0925279447084,Zona 3
94.0,394.0080280619933,Zona 2
92.0,368.8206716833324,Zona 2
40.0,170.71985219279088,Zona 1
140.0,620.8821463265485,Zona 3
129.0,607.0898171269445,Zona 3
43.0,173.91501217340257,Zona 1
116.0,525.9536978399524,Zona 3
118.0,582.1908372738659,Zona 3
52.0,200.25600912971564,Zona 1
37.0,151.5691424106275,Zona 1
94.0,361.5336086223762,Zona 2
