,Anio,FBKF.Construcciones.Priv_Publ,FBKF.Equi_Dur_Prod.Mat_Transp.Nac,FBKF.Equi_Dur_Prod.Mat_Transp.Import,FBKF.Equi_Dur_Prod.Maqui_YEqui.Nac,FBKF.Equi_Dur_Prod.Maqui_YEqui.Import,Consumo.Hogares,Consumo.Gobierno,Exportaciones,Importaciones,GIB,FKBF,EXPO_TOT_2004,EXPO_AGROP_2004,EXPO_PAMP_2004,EXPO_PECUAR_2004,EXPO_CARNES_2004,EXPO_LECHE_2004,EXPO_LANAS_2004,EXPO_CUEROS_PP_2004,EXPO_AGRIC_2004,EXPO_CEREAL_2004,EXPO_OLEAGI_2004,EXPO_OTAGRIC_2004,EXPO_PESCA_2004,EXPO_INDUST_2004,EXPO_ALIMENT_2004,EXPO_TEXTIL_2004,EXPO_CUEROIND_2004,EXPO_PAPEL_2004,EXPO_CAUCHO_2004,EXPO_QUIMICO_2004,EXPO_COMBIUST_2004,EXPO_HIERRO_2004,EXPO_METNOFERR_2004,EXPO_MAQUIN_2004,EXPO_RESTOIND_2004,Consumo.Hogares.ipi.demanda,Consumo.Gobierno.ipi.demanda,FBKF.Construcciones.Priv_Publ.ipi.demanda,FBKF.Equi_Dur_Prod.Mat_Transp.Nac.ipi.demanda,FBKF.Equi_Dur_Prod.Mat_Transp.Import.ipi.demanda,FBKF.Equi_Dur_Prod.Maqui_YEqui.Nac.ipi.demanda,FBKF.Equi_Dur_Prod.Maqui_YEqui.Import.ipi.demanda,Exportaciones.ipi.demanda,Importaciones.ipi.demanda,GIB.ipi.demanda,FBKF.Construcciones.Priv_Publ.ipi.inversion,FBKF.Equi_Dur_Prod.Mat_Transp.Nac.ipi.inversion,FBKF.Equi_Dur_Prod.Mat_Transp.Import.ipi.inversion,FBKF.Equi_Dur_Prod.Maqui_YEqui.Nac.ipi.inversion,FBKF.Equi_Dur_Prod.Maqui_YEqui.Import.ipi.inversion,FKBF.ipi.inversion,Agricultura_caza_silvicultura_y_pesca,Explotacion_de_minas_y_canteras,Industria_manufacturera,Electricidad_gas_y_agua,Construccion,Comercio_hoteles_y_restaurantes,Transp_Almac_y_Comunics,Inter_Fin_Seg_Activ_Inmo_Serv_Empr_etc,Servs_Socs_Comunales_Y_Personales,Impuesto_Prod_Netos_De_Subsid,PBI_a_precios_de_mercado,Agricultura_caza_silvicultura_y_pesca.oferta,Explotacion_de_minas_y_canteras.oferta,Industria_manufacturera.oferta,Electricidad_gas_y_agua.oferta,Construccion.oferta,Comercio_hoteles_y_restaurantes.oferta,Transp_Almac_y_Comunics.oferta,Inter_Fin_Seg_Activ_Inmo_Serv_Empr_etc.oferta,Servs_Socs_Comunales_Y_Personales.oferta,Impuesto_Prod_Netos_De_Subsid.oferta,PBI_a_precios_de_mercado.oferta,Vol_PIB_perCap,Vol_Consumo_Hogares_Per_Cap,Vol_FBKF_perCap,PIB_perCap__variPorc,Vol_Cons_Hogares_per_Cap__vari_Porc,Vol_FBKF_perCap__variPorc,Vol_PIB_encaden_Fisher_2004,IPI_volumen,IPI__variPorc
15,1964,22342653204,6356063469,537263547.3,9555074946,1597988056,1.54777E+11,25328640371,14283883294,17506064502,2.15618E+11,39783859095,5578287.864,4903029.575,4805256.865,1988380.997,1043366.108,83231.6686,176342.508,537256.238,2914648.578,2245037.277,571838.5905,97772.71045,NA,675258.2887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.20E-12,9.15E-13,8.91E-13,1.25E-12,5.85E-13,9.66E-13,2.79E-12,1.52E-12,1.15E-12,1.17E-12,8.91E-13,1.25E-12,5.85E-13,9.66E-13,2.79E-12,1.05E-12,2.25E-12,7.58E-13,1.23E-12,6.46E-12,1.35E-12,1.10E-12,2.01E-12,4.27E-13,1.10E-12,7.54E-13,1.17E-12,19090094202,5911391169,57285237871,603211457.2,6297465232,35413050572,10088941877,28125984620,31141095765,22403254405,2.15618E+11,9758.552227,7004.985885,1800.562751,0.083905562,0.129289498,0.094149838,2.15618E+11,0.444466629,0.100595068
16,1965,23138012760,7331922570,497531642,10589205964,1303719394,1.69722E+11,25804114463,15701259034,17338052633,2.34881E+11,41766192736,5960510.712,5444776.12,5314619.927,1824955.105,921613.1637,71282.60583,205992.7805,487935.6091,3619821.015,2664440.584,825224.2371,130156.1934,NA,515734.5922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48E-12,1.30E-12,1.27E-12,1.62E-12,6.21E-13,1.37E-12,3.70E-12,1.78E-12,1.37E-12,1.49E-12,1.27E-12,1.62E-12,6.21E-13,1.37E-12,3.70E-12,1.46E-12,2.55E-12,1.08E-12,1.58E-12,8.64E-12,1.89E-12,1.38E-12,2.49E-12,5.52E-13,1.47E-12,1.05E-12,1.49E-12,20221804594,6134571365,65189801954,695205340.3,6538491563,39052900543,11014047709,29343961548,32248929109,24538168727,2.34881E+11,10471.12148,7566.320384,1861.959367,0.073019976,0.080133566,0.034098571,2.34881E+11,0.484175722,0.089341
17,1966,24564918627,6552092383,762117985.5,10143170762,1801518448,1.66333E+11,27664959712,17313393019,16772620603,2.36854E+11,43012911467,6333634.225,5675922.707,5563724.31,2220807.382,1145566.341,62187.36377,239060.0066,575541.2284,3450986.575,2579153.985,763762.9424,108069.6482,4128.74942,657711.5172,12883.53829,1654.994312,6829.955277,67888.27841,2077.036887,97591.20006,311724.5197,44269.74411,806.4483641,75912.46076,36073.34104,1.81E-12,1.70E-12,1.63E-12,2.02E-12,6.80E-13,1.67E-12,3.85E-12,2.16E-12,1.68E-12,1.83E-12,1.63E-12,2.02E-12,6.80E-13,1.67E-12,3.85E-12,1.81E-12,2.85E-12,1.34E-12,1.84E-12,1.16E-11,2.48E-12,1.65E-12,3.48E-12,6.79E-13,1.88E-12,1.50E-12,1.83E-12,19466489953,6474193161,65622108260,749291946.1,6942386148,38841713642,11014726528,31382223840,33548384482,24253541842,2.36854E+11,10405.63658,7307.468193,1889.677445,-0.006253857,-0.034211106,0.014886511,2.36854E+11,0.488241776,0.008397889
18,1967,26684685396,6730998855,806204033.9,9530755677,2080169301,1.70657E+11,28238404177,17129208689,16839937831,2.43512E+11,45213187543,5835217.421,5254582.564,5111380.386,2410845.433,1198095.934,69107.8496,201213.9911,660760.9063,2839752.134,1906466.84,794068.1136,139217.1804,3984.998084,580634.8565,18538.07647,3279.867409,6921.544731,74308.0384,4467.941249,100669.0756,167739.9866,61943.90261,1986.348571,102067.2704,38712.80448,2.29E-12,2.10E-12,2.14E-12,2.46E-12,8.55E-13,2.08E-12,5.26E-12,3.26E-12,2.65E-12,2.32E-12,2.14E-12,2.46E-12,8.55E-13,2.08E-12,5.26E-12,2.32E-12,3.39E-12,1.52E-12,2.17E-12,1.61E-11,3.17E-12,2.11E-12,4.49E-12,8.91E-13,2.30E-12,2.52E-12,2.32E-12,20302375509,7256057950,66618965116,805355588.4,7835890283,39238100035,11126502116,33207676540,34487080719,24357787268,2.43512E+11,10547.63718,7391.949166,1958.393128,0.013646508,0.011560909,0.03636371,2.43512E+11,0.501967447,0.028112447
19,1968,31084638573,7231841367,598868366.3,10083806639,2505657856,1.76705E+11,29072018303,16901411984,17903374213,2.54626E+11,51189971454,4558947.983,3685459.824,3371157.677,2277316.059,1028137.987,47745.32562,241060.0321,725768.0449,1403969.219,847878.8767,245962.741,310127.6009,4174.546171,873488.1588,25807.21573,6520.450399,12276.02669,105886.3601,10769.83515,121251.588,256832.2344,131592.1653,5885.194916,143196.8034,53470.28479,2.53E-12,2.25E-12,2.35E-12,2.57E-12,8.27E-13,2.22E-12,5.41E-12,3.54E-12,2.98E-12,2.54E-12,2.35E-12,2.57E-12,8.27E-13,2.22E-12,5.41E-12,2.50E-12,3.75E-12,1.61E-12,2.25E-12,1.81E-11,3.40E-12,2.22E-12,5.17E-12,1.19E-12,2.47E-12,2.93E-12,2.54E-12,19201057147,8152693318,70951491816,870331100,9254809575,41319651899,11720069994,34399716480,35415946285,25600637648,2.54626E+11,10874.31064,7546.516661,2186.167156,0.030971245,0.020910249,0.11630659,2.54626E+11,0.524878011,0.045641533
20,1969,37601577946,8381480302,473925797,11288728676,3343866064,1.88602E+11,29874262653,19617720540,22107197368,2.75865E+11,61317068782,5175646.334,4350920.164,4054621.017,2755310.97,1442774.462,58833.60433,182534.3249,789340.728,1592394.96,1080429.126,218880.921,293084.9129,3214.234545,824726.1695,27209.73863,7009.262488,17796.63555,135684.7446,24872.42389,150879.307,88739.43322,111081.1134,6804.838259,210312.4711,44336.20136,2.75E-12,2.57E-12,2.55E-12,2.57E-12,7.17E-13,2.39E-12,5.28E-12,3.56E-12,3.16E-12,2.74E-12,2.55E-12,2.57E-12,7.17E-13,2.39E-12,5.28E-12,2.65E-12,4.21E-12,1.86E-12,2.34E-12,1.77E-11,3.72E-12,2.38E-12,5.67E-12,1.47E-12,2.70E-12,3.01E-12,2.74E-12,20253746905,8954332985,78639241363,948176744.7,11023835772,45603196446,12533441317,35642701920,36323133704,27967807835,2.75865E+11,11611.85821,7938.749325,2580.994534,0.067824766,0.051975326,0.180602557,2.75865E+11,0.568657992,0.083409821
21,1970,40018129007,8377407294,473695491.2,11998406323,3554081676,1.97392E+11,30098228199,21018528489,22018566269,2.90045E+11,64720869663,4184635.097,3341704.722,2996037.069,1441522.791,1242994.34,30082.70762,168445.743,803060.2726,1888866.218,1260219.641,294294.638,334351.9395,11315.71317,842930.3753,32598.3571,16289.54462,42923.11714,102325.1002,21749.04682,134120.0773,96569.37726,113306.7521,8194.500742,236319.2469,38535.25513,3.04E-12,3.02E-12,2.90E-12,2.56E-12,8.02E-13,2.28E-12,5.86E-12,3.85E-12,3.59E-12,3.03E-12,2.90E-12,2.56E-12,8.02E-13,2.28E-12,5.86E-12,2.88E-12,4.82E-12,1.86E-12,2.51E-12,1.72E-11,4.17E-12,2.49E-12,6.83E-12,1.88E-12,3.03E-12,3.12E-12,3.03E-12,21390526601,9563710581,83612000463,1054760116,12059038402,47481488744,13159224240,34206582739,37434072060,30399751020,2.90045E+11,12024.22664,8183.192702,2683.098082,0.035512699,0.03079117,0.039559769,2.90045E+11,0.597888323,0.051402303
22,1971,42884787856,8954558164,1207966663,13371582975,3670000377,2.07207E+11,31484583131,18920332144,24033376170,3.00941E+11,69680478854,4322811.982,3394203.422,3082926.562,1621378.16,828351.8691,54747.80945,162433.1904,484022.5567,1758401.134,1170262.33,291286.072,296852.7316,14424.12763,928608.5603,48219.86224,7317.045236,17137.52069,99350.57668,13193.28412,128681.8613,115212.2053,137527.1016,4870.732636,277896.8822,79201.48831,4.35E-12,4.12E-12,4.02E-12,3.27E-12,1.18E-12,2.95E-12,6.75E-12,5.45E-12,4.53E-12,4.29E-12,4.02E-12,3.27E-12,1.18E-12,2.95E-12,6.75E-12,3.84E-12,7.63E-12,2.35E-12,3.71E-12,2.18E-11,5.95E-12,3.58E-12,9.36E-12,2.78E-12,4.29E-12,3.53E-12,4.29E-12,21745342726,10311906715,88749714486,1153267414,12819867106,48811902383,13342493238,33983306587,38497213745,32040734855,3.00941E+11,12275.12865,8451.794468,2842.210959,0.020866374,0.03282359,0.059301923,3.00941E+11,0.620348864,0.03756645
23,1972,42066228405,10023738346,1700286814,14131148342,3413207890,2.10526E+11,30966766576,19216932275,22206316065,3.06621E+11,70031951088,4298510.736,3289516.908,2954887.329,2033833.421,1221781.301,99317.82911,166737.6254,467528.8172,1232810.256,763813.0748,157240.8324,311756.3486,22873.23049,1008993.829,52830.60687,9438.892767,25828.74024,114106.968,16712.47147,148240.1617,72426.67927,143596.3993,5783.058515,373268.9265,46760.92387,7.37E-12,6.31E-12,6.57E-12,5.30E-12,2.92E-12,5.32E-12,1.32E-11,1.05E-11,8.63E-12,7.21E-12,6.57E-12,5.30E-12,2.92E-12,5.32E-12,1.32E-11,6.49E-12,1.30E-11,3.53E-12,6.54E-12,3.37E-11,9.75E-12,6.61E-12,1.49E-11,4.70E-12,6.75E-12,5.20E-12,7.21E-12,22107483614,10613158195,92306030249,1266864747,12697190217,48919908162,13334325724,33085951824,39409909769,33295086264,3.06621E+11,12297.00583,8443.151827,2808.627714,0.001782237,-0.001022581,-0.011815888,3.06621E+11,0.632057444,0.018874185
24,1973,37459237260,10454662924,1095693228,15688577668,2528147892,2.19217E+11,32734330257,21468460919,20548784644,3.1769E+11,65107796307,5016985.215,3408794.656,3033972.046,1585888.122,989475.0119,87898.54913,158413.8042,292125.3734,1767175.099,1209749.328,238334.595,319091.1762,55731.43421,1608190.56,77701.29939,15627.52645,91642.16348,163861.2663,26719.03016,167672.3274,54681.08743,252798.6602,15702.45993,669384.5009,72400.23785,1.22E-11,1.26E-11,1.13E-11,8.79E-12,4.22E-12,9.37E-12,1.76E-11,1.66E-11,1.28E-11,1.22E-11,1.13E-11,8.79E-12,4.22E-12,9.37E-12,1.76E-11,1.09E-11,2.09E-11,6.51E-12,1.06E-11,6.24E-11,1.73E-11,1.00E-11,2.23E-11,1.04E-11,1.35E-11,8.26E-12,1.22E-11,24447762936,10311666620,95968648894,1362399031,11209469271,49539026267,14076167474,34025796916,40947094356,35002629322,3.1769E+11,12524.41982,8642.281104,2566.770398,0.018493444,0.023584709,-0.086112273,3.1769E+11,0.654875455,0.036101166
25,1974,40315652250,9309737595,1043504216,17235599450,2514785682,2.3669E+11,35059203488,21532108978,23644769349,3.37298E+11,68447140526,4823621.967,2999981.004,2444161.038,935528.0728,516346.61,53263.43017,92075.27066,231389.4759,1984893.914,1310043.443,198589.5221,476260.9483,79559.01791,1823640.962,137683.4761,7564.555161,113106.1391,169299.364,25821.38454,156176.4928,50730.17047,187779.3605,16720.89256,868564.7753,90194.35165,1.57E-11,1.87E-11,1.66E-11,1.24E-11,5.47E-12,1.25E-11,2.13E-11,2.08E-11,1.70E-11,1.63E-11,1.66E-11,1.24E-11,5.47E-12,1.25E-11,2.13E-11,1.55E-11,2.42E-11,8.96E-12,1.44E-11,7.98E-11,2.48E-11,1.14E-11,3.11E-11,1.21E-11,2.04E-11,1.32E-11,1.63E-11,25319292916,10559272875,1.01611E+11,1443421386,12097386399,53425814624,14942165998,38627069503,42905367975,36155871379,3.37298E+11,13074.25661,9174.519175,2653.131491,0.043901178,0.061585369,0.033645819,3.37298E+11,0.695294288,0.061719879
26,1975,42070708630,8203471321,1318906534,15616236250,2669755180,2.38241E+11,35203961347,19051219532,25177863256,3.34227E+11,68332563421,3936228.158,2550241,2049386.256,892572.2165,467205.412,80058.35429,154969.9132,170249.3226,1583809.897,1001026.102,155787.9374,426995.8583,73858.88581,1385987.158,70933.57436,2545.223682,42859.16408,79654.27137,5126.763744,141018.6352,63290.78812,53656.60034,6219.448116,882279.1889,38403.50047,4.46E-11,5.29E-11,6.82E-11,5.07E-11,1.21E-11,5.57E-11,5.58E-11,5.85E-11,4.51E-11,5.02E-11,6.82E-11,5.07E-11,1.21E-11,5.57E-11,5.58E-11,6.32E-11,5.41E-11,1.92E-11,5.54E-11,2.29E-10,9.58E-11,4.25E-11,8.79E-11,3.66E-11,5.93E-11,2.00E-11,5.02E-11,24349486188,10397849817,98999495616,1530774674,12650794156,53782378858,14456935439,34666547192,44619946243,37689035313,3.34227E+11,12745.7682,9085.335584,2605.863912,-0.025124825,-0.009720792,-0.01781577,3.34227E+11,0.688964936,-0.009103127
27,1976,45978921336,7573754600,1175037301,18025984818,2348654673,2.10327E+11,37175426921,24740134962,18473488088,3.31151E+11,73699614473,5751513.907,3986213.103,3279040.462,1745664.714,969475.6136,195320.3991,186459.3035,325523.2196,2106134.345,1255792.411,277583.3369,572758.5973,134414.0438,1765300.804,129009.4022,12002.49709,103426.9701,91312.15163,4947.441898,187409.8522,107808.9506,184035.7507,9205.072137,849573.4574,86569.25797,2.59E-10,1.98E-10,3.35E-10,3.05E-10,8.41E-11,3.24E-10,4.28E-10,3.74E-10,3.19E-10,2.71E-10,3.35E-10,3.05E-10,8.41E-11,3.24E-10,4.28E-10,3.34E-10,2.79E-10,1.09E-10,3.04E-10,1.41E-09,4.44E-10,2.65E-10,4.86E-10,1.84E-10,2.39E-10,1.77E-10,2.71E-10,25465862828,10650291689,95983387121,1587204451,14238749822,51000580498,14310940413,33254139965,44635529268,37088079371,3.31151E+11,12433.29928,7896.854456,2767.102249,-0.024515503,-0.130813124,0.061875195,3.31151E+11,0.682623945,-0.009203648
28,1977,50711382336,9394809138,5632726874,22126688980,4056018982,2.13773E+11,39124937559,31322522401,23798251906,3.54906E+11,87976612662,7911668.35,5598341.716,4574438.343,1930828.659,1106191.149,121418.1018,260794.4657,343729.9992,3450263.717,2015847.526,627762.1578,806654.0335,217249.3395,2313326.634,168347.6034,32672.20955,213135.7858,296804.662,11761.94125,233060.203,122696.7889,160297.8214,17553.3182,917039.0809,139957.2198,7.37E-10,4.98E-10,7.96E-10,7.15E-10,3.74E-10,7.92E-10,1.19E-09,8.52E-10,8.40E-10,7.20E-10,7.96E-10,7.15E-10,3.74E-10,7.92E-10,1.19E-09,8.13E-10,7.86E-10,1.44E-10,8.08E-10,3.28E-09,1.08E-09,6.98E-10,1.03E-09,7.05E-10,6.31E-10,4.41E-10,7.20E-10,26146241331,11561278841,1.03503E+11,1660732719,16161735660,54738974816,15169832005,38544669431,45787989257,37896785476,3.54906E+11,13124.87233,7905.581822,3253.486268,0.055622649,0.00110517,0.175773779,3.54906E+11,0.731591192,0.071733855
29,1978,50149271893,8071377896,3643886898,15776079480,3603533154,2.02976E+11,41032339015,33944802747,21613780152,3.39813E+11,78658297681,8825240.838,6278163.918,5005553.296,2502354.747,1430147.868,92345.88415,349572.7401,440422.3421,3458896.036,1527449.082,975749.4658,955697.4875,316913.1347,2547076.92,187616.4162,54389.43049,249548.9265,142230.9499,19438.63139,286108.027,191758.8398,373889.7329,34035.82423,880688.8825,127371.2594,1.98E-09,1.49E-09,2.16E-09,2.05E-09,1.29E-09,1.88E-09,2.78E-09,1.77E-09,1.82E-09,1.92E-09,2.16E-09,2.05E-09,1.29E-09,1.88E-09,2.78E-09,2.15E-09,1.77E-09,5.40E-10,2.19E-09,7.92E-09,2.96E-09,1.82E-09,2.61E-09,1.65E-09,1.97E-09,1.30E-09,1.92E-09,26505216493,11781752104,92631458354,1716178965,16071149432,50604743261,14634492412,41890311013,45538006658,35661607056,3.39813E+11,12380.60054,7395.134782,2865.805844,-0.056706974,-0.064567928,-0.119158463,3.39813E+11,0.700478182,-0.042527863
30,1979,50969743921,9553874397,6174507603,15963385713,4089154511,2.32212E+11,42254052212,32759330019,32284260407,3.65881E+11,82930421253,8284130.201,6182234.648,5127980.895,2147306.263,1271438.425,38767.50735,247506.3013,474030.6657,3671196.821,1778402.317,1202272.314,690522.1894,363731.5634,2101895.553,177029.2154,34440.77103,168719.8458,124066.8773,10599.02713,218476.668,125801.607,241450.8473,62144.13571,820923.231,118243.3274,5.15E-09,3.81E-09,5.54E-09,5.05E-09,2.39E-09,4.86E-09,5.13E-09,3.73E-09,3.61E-09,4.94E-09,5.54E-09,5.05E-09,2.39E-09,4.86E-09,5.13E-09,5.35E-09,4.83E-09,1.41E-09,5.25E-09,1.31E-08,7.96E-09,4.86E-09,6.09E-09,4.47E-09,5.38E-09,3.64E-09,4.94E-09,27587934623,12531079281,1.02117E+11,1900823154,16504865944,55827193472,15909303467,45223382020,47201963928,38033732292,3.65881E+11,13133.46669,8335.354993,2976.822751,0.060810148,0.127140375,0.03873846,3.65881E+11,0.754215398,0.076715046
31,1980,56584697303,9725484193,4018370191,14547205065,5797136195,2.38469E+11,44243296380,31645838840,44046946092,3.71699E+11,88522954840,7301979.809,5004315.327,4099114.512,1632365.102,854742.8507,35878.11047,262897.2157,437386.5341,3127348.135,1275349.112,1191400.298,660598.7245,244602.0904,2297664.482,149228.0129,36190.06789,137001.2349,118063.5848,9499.692681,273959.4965,399581.7811,143353.7668,126009.1466,797655.0777,107122.6197,1.04E-08,9.07E-09,1.15E-08,1.03E-08,4.35E-09,8.31E-09,9.95E-09,6.03E-09,5.56E-09,1.01E-08,1.15E-08,1.03E-08,4.35E-09,8.31E-09,9.95E-09,1.07E-08,8.49E-09,3.48E-09,9.41E-09,2.47E-08,1.75E-08,9.24E-09,1.16E-08,9.07E-09,1.36E-08,9.88E-09,1.01E-08,25788416645,13009710146,98285558638,2048411917,17565632931,58967033249,16014741943,51009523585,48057783370,37584466284,3.71699E+11,13143.36263,8432.325964,3130.191476,0.00075349,0.011633694,0.051520946,3.71699E+11,0.766207873,0.015900598
32,1981,49663643088,6144398841,3017770217,12827196409,5307987989,2.28883E+11,44064839080,33292873979,40418285976,3.50969E+11,75367374036,8309646.824,5772686.725,4934499.264,1801089.169,887786.0818,54309.30311,319838.5291,492311.0252,3727345.865,2135281.631,998128.4651,593935.7694,244251.6918,2536960.099,110476.9397,12854.92556,124478.6037,84485.26154,18328.74139,261753.1384,799692.9123,212786.8443,145561.0363,664342.3326,102199.3633,2.14E-08,1.70E-08,2.29E-08,2.28E-08,1.03E-08,1.93E-08,2.28E-08,1.52E-08,1.33E-08,2.08E-08,2.29E-08,2.28E-08,1.03E-08,1.93E-08,2.28E-08,2.23E-08,1.62E-08,8.27E-09,2.04E-08,5.60E-08,3.50E-08,1.94E-08,2.62E-08,1.82E-08,2.57E-08,2.02E-08,2.08E-08,26984441114,13361269729,86027852503,1901030825,15434725797,53720558961,14700308029,55539180369,48955567444,32584898300,3.50969E+11,12222.99882,7971.170484,2624.775045,-0.070024988,-0.054689001,-0.161465021,3.50969E+11,0.723476098,-0.055770473
33,1982,44527869811,4497646939,915073915.7,11313699043,2635908907,2.15665E+11,49395370536,34980972774,23458992462,3.41552E+11,62854183817,8349587.369,5594525.686,4609505.854,1732377.227,993916.1452,101542.2249,255329.6313,353937.4876,3445727.155,1716100.731,1161027.896,568598.5282,416421.3035,2755061.683,143564.9587,14152.9311,114144.6807,76088.58861,21041.43725,297614.4734,742106.7952,297684.6132,171703.6356,800085.27,76874.29934,6.68E-08,3.61E-08,6.61E-08,8.08E-08,4.71E-08,8.43E-08,9.46E-08,5.56E-08,5.90E-08,6.24E-08,6.61E-08,8.08E-08,4.71E-08,8.43E-08,9.46E-08,7.24E-08,6.53E-08,2.10E-08,6.68E-08,9.33E-08,1.01E-07,6.38E-08,6.47E-08,5.21E-08,5.88E-08,7.01E-08,6.24E-08,29563572338,12711134073,86720243275,2641190448,14133556505,50427359472,16229820686,55422822680,49687337427,22204212508,3.41552E+11,11714.75023,7396.999836,2155.807468,-0.041581333,-0.072030908,-0.178669627,3.41552E+11,0.704064383,-0.026831176
34,1983,44040061325,5820549188,731479558.9,12169312641,2052192607,2.27323E+11,48543985345,35930949267,21863236749,3.56711E+11,63757484431,8945548.683,6732292.599,5636243.887,1479480.566,765310.4408,99153.39228,262493.0887,326517.9908,4846172.701,2698570.754,1458192.567,689409.3803,406639.3314,2213256.084,191002.7607,11176.6432,62598.70432,72112.05903,25791.06897,355818.0589,594216.9297,316334.8446,110551.3757,420022.1376,53631.50124,3.15E-07,2.13E-07,3.39E-07,3.73E-07,2.91E-07,3.31E-07,5.54E-07,2.76E-07,2.85E-07,3.03E-07,3.39E-07,3.73E-07,2.91E-07,3.31E-07,5.54E-07,3.52E-07,2.87E-07,1.67E-07,3.06E-07,4.99E-07,5.19E-07,3.06E-07,3.10E-07,2.67E-07,2.95E-07,3.53E-07,3.03E-07,30354597550,13182598190,95005190419,2342728206,14165804534,52727029785,17327611814,56259078151,51195354277,22493152641,3.56711E+11,12049.58724,7678.896328,2153.709168,0.028582514,0.038109571,-0.000973324,3.56711E+11,0.735311587,0.044381173
35,1984,39238408992,7985540510,699563333.4,12440520871,1831843955,2.40442E+11,45486547246,34988594809,22884477421,3.63185E+11,61207509140,8645818.759,6466933.729,5405149.241,1184945.483,479166.3377,39081.0597,281116.4615,344766.3285,4889868.249,2108479.295,2111724.463,669664.4905,392119.9979,2178885.03,148850.2038,11522.91056,39610.75719,89005.29687,26671.35102,376725.4761,453416.9886,302284.8459,110999.8495,569917.8009,49879.54918,2.14E-06,1.72E-06,2.44E-06,2.38E-06,3.12E-06,2.50E-06,3.14E-06,1.67E-06,1.58E-06,2.12E-06,2.44E-06,2.38E-06,3.12E-06,2.50E-06,3.14E-06,2.51E-06,1.97E-06,1.07E-06,2.09E-06,3.55E-06,3.74E-06,2.12E-06,2.37E-06,1.82E-06,2.27E-06,2.29E-06,2.12E-06,30199902195,13307249657,94901121164,3139337624,12570702392,56504933675,17686606882,55322914947,51984362418,26001114995,3.63185E+11,12084.10989,8000.111637,2036.530624,0.002865048,0.041830921,-0.054407784,3.63185E+11,0.748658137,0.018150877
36,1985,33277821671,5199103690,603575900.3,11867135772,2056621231,2.16998E+11,45281224324,40183226156,19778957872,3.3618E+11,52325013682,10692657.94,7270273.811,6162347.988,1292004.747,509444.656,43853.64491,284244.2655,413026.5162,5682726.033,2504729.711,2365613.53,812382.7917,295543.0311,3357164.576,145757.9783,16743.94505,44235.5552,85142.02541,42033.70563,450275.4035,1029202.333,584403.4945,213805.0863,745565.0498,65219.54998,1.56E-05,1.28E-05,1.71E-05,2.06E-05,2.21E-05,1.97E-05,2.64E-05,1.54E-05,1.64E-05,1.56E-05,1.71E-05,2.06E-05,2.21E-05,1.97E-05,2.64E-05,1.87E-05,1.22E-05,7.62E-06,1.56E-05,2.71E-05,2.60E-05,1.58E-05,1.90E-05,1.40E-05,1.58E-05,1.79E-05,1.56E-05,29531767692,12500690664,81863695408,2987467540,10608115691,47803852176,17043161837,52572078968,49674562129,30406732210,3.3618E+11,11019.80764,7113.062342,1715.185934,-0.088074526,-0.110879615,-0.157790257,3.3618E+11,0.692990499,-0.074356553
37,1986,39886393317,6294867271,236706970.4,10571865772,1978062338,2.40104E+11,47948690617,36302912681,23472547633,3.6097E+11,57728575086,9234882.993,6583697.397,5634505.477,1389821.705,536488.123,43269.16675,289746.67,476432.2215,4831407.025,1663595.48,2581088.292,586723.2535,362468.6669,2651185.596,127646.7222,27273.18388,68742.7087,79678.45356,32603.52897,457297.261,392121.5748,595191.5285,174687.4555,614627.486,81315.6933,2.79E-05,2.24E-05,2.79E-05,3.28E-05,4.23E-05,2.93E-05,4.58E-05,2.22E-05,2.65E-05,2.68E-05,2.79E-05,3.28E-05,4.23E-05,2.93E-05,4.58E-05,2.99E-05,2.33E-05,1.57E-05,2.45E-05,4.85E-05,4.24E-05,2.79E-05,3.22E-05,2.57E-05,2.95E-05,2.79E-05,2.68E-05,29406461963,11696151056,89179039529,2936986376,12718736941,53081323201,18451330904,54568387573,51473031241,34158915326,3.6097E+11,11658.41742,7754.749799,1864.486909,0.057951082,0.090212545,0.087046525,3.6097E+11,0.744091293,0.073739531
38,1987,45164557361,7418380763,374009197.9,9692724652,3024294646,2.45295E+11,48851972970,35170099828,26266280508,3.70987E+11,64551378153,8469049.962,5871082.705,4859278.607,1323033.264,542157.6421,39866.98697,251565.8094,450666.7853,4165323.184,1188160.54,2348084.804,629077.8402,382726.2579,2597967.257,171729.4626,40728.9384,122849.612,127298.7276,44573.35474,498927.0114,196287.9142,587745.2976,190039.5309,501205.9441,116581.4633,6.18E-05,5.49E-05,6.08E-05,7.04E-05,0.000135913,8.21E-05,1.00E-04,5.09E-05,6.44E-05,6.03E-05,6.08E-05,7.04E-05,0.000135913,8.21E-05,1.00E-04,6.84E-05,5.69E-05,3.06E-05,5.69E-05,0.000110341,9.24E-05,6.11E-05,7.07E-05,6.14E-05,6.34E-05,5.83E-05,6.03E-05,28728417389,14088758415,93207674702,3799860808,14623056996,54603925216,18917060437,56082696980,53276615954,29667254562,3.70987E+11,11806.5005,7806.401357,2054.318607,0.012701817,0.006660635,0.101814444,3.70987E+11,0.764740395,0.027750765
